Ensembl Gene ID	Gene Symbol	p-value value	Geneset friends	Total friends	BioType	GO Annotation	Chromosome	Chromosome Start	Chromosome End
ENSG00000133740	E2F5	4.58e-03	3	2036	protein_coding	E2F transcription factor 5, p130-binding	8	86089460	86129387
ENSG00000105176	URI1	4.67e-03	3	2050	protein_coding	URI1, prefoldin-like chaperone	19	30414551	30506611
ENSG00000136603	SKIL	4.68e-03	3	2052	protein_coding	SKI-like oncogene	3	170075466	170114623
ENSG00000140987	ZSCAN32	4.70e-03	3	2054	protein_coding	zinc finger and SCAN domain containing 32	16	3432085	3451065
ENSG00000166268		6.20e-03	2	679	protein_coding	myelin regulatory factor-like	12	70219084	70352877
ENSG00000109854	HTATIP2	6.79e-03	3	2342	protein_coding	HIV-1 Tat interactive protein 2, 30kDa	11	20385231	20405329
ENSG00000146757	ZNF92	7.18e-03	3	2389	protein_coding	zinc finger protein 92	7	64838712	64866038
ENSG00000165244	ZNF367	7.45e-03	3	2421	protein_coding	zinc finger protein 367	9	99148223	99180611
ENSG00000119401	TRIM32	7.64e-03	3	2443	protein_coding	tripartite motif containing 32	9	119449581	119463579
ENSG00000106245	BUD31	7.91e-03	3	2474	protein_coding	BUD31 homolog (S. cerevisiae)	7	99006264	99017239
ENSG00000159479	MED8	7.96e-03	3	2480	protein_coding	mediator complex subunit 8	1	43849588	43855479
ENSG00000120837	NFYB	8.12e-03	3	2497	protein_coding	nuclear transcription factor Y, beta	12	104510855	104532067
ENSG00000178913	TAF7	8.31e-03	3	2518	protein_coding	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	5	140698057	140700330
ENSG00000075407	ZNF37A	8.39e-03	3	2527	protein_coding	zinc finger protein 37A	10	38383264	38414472
ENSG00000154727	GABPA	8.43e-03	3	2531	protein_coding	GA binding protein transcription factor, alpha subunit 60kDa	21	27106881	27144771
ENSG00000183576	SETD3	8.73e-03	3	2563	protein_coding	SET domain containing 3	14	99864083	99947216
ENSG00000186260	MKL2	8.76e-03	3	2566	protein_coding	MKL/myocardin-like 2	16	14165178	14360630
ENSG00000137338	PGBD1	8.77e-03	3	2568	protein_coding	piggyBac transposable element derived 1	6	28249314	28270326
ENSG00000113645	WWC1	8.90e-03	3	2581	protein_coding	WW and C2 domain containing 1	5	167718656	167899308
ENSG00000165417	GTF2A1	9.02e-03	3	2594	protein_coding	general transcription factor IIA, 1, 19/37kDa	14	81641796	81687721
ENSG00000214114	MYCBP	9.12e-03	3	2604	protein_coding	MYC binding protein	1	39328636	39347289
ENSG00000129691	ASH2L	9.35e-03	3	2627	protein_coding	ash2 (absent, small, or homeotic)-like (Drosophila)	8	37962760	38001594
ENSG00000196693	ZNF33B	9.36e-03	3	2629	protein_coding	zinc finger protein 33B	10	43084555	43133992
ENSG00000071539	TRIP13	9.40e-03	3	2633	protein_coding	thyroid hormone receptor interactor 13	5	892758	919472
ENSG00000121067	SPOP	9.45e-03	3	2638	protein_coding	speckle-type POZ protein	17	47676246	47755596
ENSG00000198146	ZNF770	9.53e-03	3	2646	protein_coding	zinc finger protein 770	15	35270542	35280488
ENSG00000253729	PRKDC	1.01e-02	3	2702	protein_coding	protein kinase, DNA-activated, catalytic polypeptide	8	48685669	48872743
ENSG00000204435	CSNK2B	1.02e-02	3	2708	protein_coding	casein kinase 2, beta polypeptide	6	31633013	31638120
ENSG00000136146	MED4	1.02e-02	3	2709	protein_coding	mediator complex subunit 4	13	48627459	48669267
ENSG00000123268	ATF1	1.07e-02	3	2762	protein_coding	activating transcription factor 1	12	51157493	51214905
ENSG00000185104	FAF1	1.08e-02	3	2768	protein_coding	Fas (TNFRSF6) associated factor 1	1	50905150	51425935
ENSG00000100030	MAPK1	1.09e-02	3	2777	protein_coding	mitogen-activated protein kinase 1	22	22108789	22221970
ENSG00000140262	TCF12	1.15e-02	3	2828	protein_coding	transcription factor 12	15	57210821	57591479
ENSG00000101773	RBBP8	1.16e-02	3	2844	protein_coding	retinoblastoma binding protein 8	18	20378224	20606451
ENSG00000172292	CERS6	1.20e-02	3	2872	protein_coding	ceramide synthase 6	2	169312372	169631644
ENSG00000112983	BRD8	1.21e-02	3	2884	protein_coding	bromodomain containing 8	5	137475455	137514675
ENSG00000127337	YEATS4	1.21e-02	3	2885	protein_coding	YEATS domain containing 4	12	69753483	69784576
ENSG00000062194	GPBP1	1.24e-02	3	2910	protein_coding	GC-rich promoter binding protein 1	5	56469775	56560506
ENSG00000102098	SCML2	1.24e-02	3	2913	protein_coding	sex comb on midleg-like 2 (Drosophila)	X	18257434	18372847
ENSG00000050748	MAPK9	1.29e-02	3	2954	protein_coding	mitogen-activated protein kinase 9	5	179660143	179719099
ENSG00000163697	APBB2	1.35e-02	3	3002	protein_coding	amyloid beta (A4) precursor protein-binding, family B, member 2	4	40812044	41218731
ENSG00000125931	CITED1	1.38e-02	2	1029	protein_coding	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	X	71521488	71527037
ENSG00000230989	HSBP1	1.43e-02	3	3063	protein_coding	heat shock factor binding protein 1	16	83841448	83853342
ENSG00000169714	CNBP	1.45e-02	3	3082	protein_coding	CCHC-type zinc finger, nucleic acid binding protein	3	128888327	128902765
ENSG00000085231	TAF9	1.46e-02	3	3091	protein_coding	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	5	68646811	68665840
ENSG00000126261	UBA2	1.50e-02	3	3122	protein_coding	ubiquitin-like modifier activating enzyme 2	19	34919257	34960853
ENSG00000198791	CNOT7	1.51e-02	3	3130	protein_coding	CCR4-NOT transcription complex, subunit 7	8	17086737	17104387
ENSG00000116455	WDR77	1.53e-02	3	3144	protein_coding	WD repeat domain 77	1	111982512	111991998
ENSG00000005100	DHX33	1.56e-02	3	3165	protein_coding	DEAH (Asp-Glu-Ala-His) box polypeptide 33	17	5344232	5372380
ENSG00000112592	TBP	1.59e-02	3	3190	protein_coding	TATA box binding protein	6	170863390	170881958
ENSG00000181163	NPM1	1.60e-02	3	3192	protein_coding	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	5	170814120	170838141
ENSG00000156256	USP16	1.67e-02	3	3244	protein_coding	ubiquitin specific peptidase 16	21	30396950	30426809
ENSG00000161547	SRSF2	1.70e-02	3	3267	protein_coding	serine/arginine-rich splicing factor 2	17	74730197	74733456
ENSG00000135829	DHX9	1.71e-02	3	3277	protein_coding	DEAH (Asp-Glu-Ala-His) box helicase 9	1	182808504	182856886
ENSG00000125107	CNOT1	1.76e-02	3	3308	protein_coding	CCR4-NOT transcription complex, subunit 1	16	58553855	58663790
ENSG00000103423	DNAJA3	1.77e-02	3	3314	protein_coding	DnaJ (Hsp40) homolog, subfamily A, member 3	16	4475806	4506776
ENSG00000137310	TCF19	1.78e-02	3	3326	protein_coding	transcription factor 19	6	31126319	31134936
ENSG00000169744	LDB2	1.80e-02	3	3335	protein_coding	LIM domain binding 2	4	16503164	16900432
ENSG00000171720	HDAC3	1.82e-02	3	3354	protein_coding	histone deacetylase 3	5	141000443	141016437
ENSG00000143799	PARP1	1.84e-02	3	3362	protein_coding	poly (ADP-ribose) polymerase 1	1	226548392	226595780
ENSG00000106462	EZH2	1.86e-02	3	3380	protein_coding	enhancer of zeste homolog 2 (Drosophila)	7	148504475	148581413
ENSG00000196591	HDAC2	1.96e-02	3	3444	protein_coding	histone deacetylase 2	6	114254192	114332472
ENSG00000116478	HDAC1	1.97e-02	3	3453	protein_coding	histone deacetylase 1	1	32757687	32799236
ENSG00000083544	TDRD3	2.22e-02	2	1322	protein_coding	tudor domain containing 3	13	60970591	61148012
ENSG00000132341	RAN	2.25e-02	3	3627	protein_coding	RAN, member RAS oncogene family	12	131356424	131362223
ENSG00000135625	EGR4	2.52e-02	2	1417	protein_coding	early growth response 4	2	73518058	73520833
ENSG00000234224	TMEM229A	3.16e-02	2	1598	protein_coding	transmembrane protein 229A	7	123670973	123673523
ENSG00000106004	HOXA5	3.38e-02	2	1657	protein_coding	homeobox A5	7	27180671	27183287
ENSG00000198839	ZNF277	3.41e-02	2	1665	protein_coding	zinc finger protein 277	7	111846643	111983151
ENSG00000101190	TCFL5	3.54e-02	2	1700	protein_coding	transcription factor-like 5 (basic helix-loop-helix)	20	61472467	61493115
ENSG00000160199	PKNOX1	3.55e-02	2	1703	protein_coding	PBX/knotted 1 homeobox 1	21	44394620	44453691
ENSG00000204103	MAFB	3.56e-02	2	1706	protein_coding	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B	20	39314488	39317880
ENSG00000172262	ZNF131	3.89e-02	2	1790	protein_coding	zinc finger protein 131	5	43065278	43192123
ENSG00000115041	KCNIP3	4.06e-02	2	1831	protein_coding	Kv channel interacting protein 3, calsenilin	2	95963052	96051825
ENSG00000197757	HOXC6	4.12e-02	2	1847	protein_coding	homeobox C6	12	54384408	54424607
ENSG00000107643	MAPK8	4.13e-02	2	1849	protein_coding	mitogen-activated protein kinase 8	10	49514698	49647403
ENSG00000178928	TPRX1	4.15e-02	2	1853	protein_coding	tetra-peptide repeat homeobox 1	19	48304500	48322308
ENSG00000196812	ZSCAN16	4.24e-02	2	1875	protein_coding	zinc finger and SCAN domain containing 16	6	28092338	28097860
ENSG00000197213	ZSCAN5B	4.36e-02	2	1905	protein_coding	zinc finger and SCAN domain containing 5B	19	56700939	56709289
ENSG00000172465	TCEAL1	4.39e-02	2	1910	protein_coding	transcription elongation factor A (SII)-like 1	X	102883632	102885881
ENSG00000164683	HEY1	4.50e-02	2	1938	protein_coding	hes-related family bHLH transcription factor with YRPW motif 1	8	80676245	80680098
ENSG00000123685	BATF3	4.51e-02	2	1939	protein_coding	basic leucine zipper transcription factor, ATF-like 3	1	212859760	212873327
ENSG00000171872	KLF17	4.51e-02	2	1940	protein_coding	Kruppel-like factor 17	1	44584522	44600812
ENSG00000180532	ZSCAN4	4.52e-02	2	1941	protein_coding	zinc finger and SCAN domain containing 4	19	58180303	58190520
ENSG00000136715	SAP130	4.53e-02	2	1944	protein_coding	Sin3A-associated protein, 130kDa	2	128698791	128785694
ENSG00000120948	TARDBP	4.58e-02	2	1955	protein_coding	TAR DNA binding protein	1	11072414	11085796
ENSG00000128710	HOXD10	4.61e-02	2	1964	protein_coding	homeobox D10	2	176973518	176984670
ENSG00000258873	DUXA	4.69e-02	2	1981	protein_coding	double homeobox A	19	57665389	57678811
ENSG00000128714	HOXD13	4.71e-02	2	1986	protein_coding	homeobox D13	2	176957619	176960666
ENSG00000129173	E2F8	4.73e-02	2	1992	protein_coding	E2F transcription factor 8	11	19245610	19263167
ENSG00000160908	ZNF394	4.74e-02	2	1994	protein_coding	zinc finger protein 394	7	99084142	99097947
ENSG00000147124	ZNF41	4.76e-02	2	1998	protein_coding	zinc finger protein 41	X	47305278	47342345
ENSG00000213988	ZNF90	4.76e-02	2	1999	protein_coding	zinc finger protein 90	19	20188803	20237885
ENSG00000111249	CUX2	4.86e-02	2	2020	protein_coding	cut-like homeobox 2	12	111471828	111788358
ENSG00000131848	ZSCAN5A	4.94e-02	2	2039	protein_coding	zinc finger and SCAN domain containing 5A	19	56732681	56879752
ENSG00000136997	MYC	4.95e-02	2	2041	protein_coding	v-myc avian myelocytomatosis viral oncogene homolog	8	128747680	128753674
ENSG00000124459	ZNF45	5.13e-02	2	2082	protein_coding	zinc finger protein 45	19	44416781	44439430
ENSG00000177565	TBL1XR1	5.13e-02	2	2082	protein_coding	transducin (beta)-like 1 X-linked receptor 1	3	176737143	176915261
ENSG00000168214	RBPJ	5.16e-02	2	2088	protein_coding	recombination signal binding protein for immunoglobulin kappa J region	4	26165077	26436541
ENSG00000253506	NACA2	5.29e-02	2	2118	protein_coding	nascent polypeptide-associated complex alpha subunit 2	17	59667794	59668563
ENSG00000196482	ESRRG	5.33e-02	2	2126	protein_coding	estrogen-related receptor gamma	1	216676588	217311097
ENSG00000087842	PIR	5.35e-02	2	2131	protein_coding	pirin (iron-binding nuclear protein)	X	15402921	15511687
ENSG00000126778	SIX1	5.38e-02	2	2137	protein_coding	SIX homeobox 1	14	61110133	61124977
ENSG00000060339	CCAR1	5.40e-02	2	2142	protein_coding	cell division cycle and apoptosis regulator 1	10	70480769	70552134
ENSG00000160310	PRMT2	5.43e-02	2	2149	protein_coding	protein arginine methyltransferase 2	21	48055079	48085036
ENSG00000123095	BHLHE41	5.45e-02	2	2152	protein_coding	basic helix-loop-helix family, member e41	12	26272959	26278060
ENSG00000125686	MED1	5.49e-02	2	2162	protein_coding	mediator complex subunit 1	17	37560538	37607539
ENSG00000162851	TFB2M	5.54e-02	2	2172	protein_coding	transcription factor B2, mitochondrial	1	246703862	246729626
ENSG00000169016	E2F6	5.58e-02	2	2182	protein_coding	E2F transcription factor 6	2	11584501	11606297
ENSG00000136535	TBR1	5.62e-02	2	2191	protein_coding	T-box, brain, 1	2	162272605	162282381
ENSG00000153879	CEBPG	5.77e-02	2	2222	protein_coding	CCAAT/enhancer binding protein (C/EBP), gamma	19	33864236	33873592
ENSG00000198963	RORB	5.85e-02	2	2239	protein_coding	RAR-related orphan receptor B	9	77112281	77308093
ENSG00000109819	PPARGC1A	5.90e-02	2	2251	protein_coding	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	4	23756664	23905712
ENSG00000165891	E2F7	5.97e-02	2	2266	protein_coding	E2F transcription factor 7	12	77415027	77459360
ENSG00000065526	SPEN	5.98e-02	2	2267	protein_coding	spen family transcriptional repressor	1	16174359	16266955
ENSG00000119042	SATB2	6.00e-02	2	2272	protein_coding	SATB homeobox 2	2	200134223	200335989
ENSG00000155868	MED7	6.04e-02	2	2279	protein_coding	mediator complex subunit 7	5	156564423	156586030
ENSG00000144161	ZC3H8	6.08e-02	2	2289	protein_coding	zinc finger CCCH-type containing 8	2	112969102	113012713
ENSG00000096717	SIRT1	6.20e-02	2	2313	protein_coding	sirtuin 1	10	69644427	69678147
ENSG00000077080	ACTL6B	6.21e-02	2	2315	protein_coding	actin-like 6B	7	100240720	100254084
ENSG00000260027	HOXB7	6.23e-02	2	2320	protein_coding	homeobox B7	17	46684594	46710934
ENSG00000061337	LZTS1	6.28e-02	2	2330	protein_coding	leucine zipper, putative tumor suppressor 1	8	20103676	20161474
ENSG00000176165	FOXG1	6.34e-02	2	2342	protein_coding	forkhead box G1	14	29235050	29238870
ENSG00000133997	MED6	6.36e-02	2	2346	protein_coding	mediator complex subunit 6	14	71047974	71067384
ENSG00000101557	USP14	6.38e-02	2	2350	protein_coding	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	18	158383	214629
ENSG00000158691	ZSCAN12	6.41e-02	2	2358	protein_coding	zinc finger and SCAN domain containing 12	6	28346732	28367511
ENSG00000175029	CTBP2	6.44e-02	2	2363	protein_coding	C-terminal binding protein 2	10	126676421	126849739
ENSG00000116670	MAD2L2	6.46e-02	2	2367	protein_coding	MAD2 mitotic arrest deficient-like 2 (yeast)	1	11734537	11751707
ENSG00000114126	TFDP2	6.48e-02	2	2371	protein_coding	transcription factor Dp-2 (E2F dimerization partner 2)	3	141663277	141868386
ENSG00000161920	MED11	6.54e-02	2	2384	protein_coding	mediator complex subunit 11	17	4634723	4636905
ENSG00000125629	INSIG2	6.54e-02	2	2384	protein_coding	insulin induced gene 2	2	118846028	118868573
ENSG00000124444	ZNF576	6.54e-02	2	2384	protein_coding	zinc finger protein 576	19	44100544	44105309
ENSG00000175745	NR2F1	6.56e-02	2	2388	protein_coding	nuclear receptor subfamily 2, group F, member 1	5	92919043	92930321
ENSG00000131263	RLIM	6.67e-02	2	2410	protein_coding	ring finger protein, LIM domain interacting	X	73805052	73834452
ENSG00000187555	USP7	6.67e-02	2	2411	protein_coding	ubiquitin specific peptidase 7 (herpes virus-associated)	16	8985951	9058371
ENSG00000186487	MYT1L	6.68e-02	2	2413	protein_coding	myelin transcription factor 1-like	2	1792885	2335032
ENSG00000155508	CNOT8	6.71e-02	2	2419	protein_coding	CCR4-NOT transcription complex, subunit 8	5	154237113	154256353
ENSG00000197223	C1D	6.72e-02	2	2421	protein_coding	C1D nuclear receptor corepressor	2	68268262	68338080
ENSG00000080839	RBL1	6.73e-02	2	2422	protein_coding	retinoblastoma-like 1 (p107)	20	35624752	35724398
ENSG00000087095	NLK	6.76e-02	2	2428	protein_coding	nemo-like kinase	17	26368763	26523407
ENSG00000174446	SNAPC5	6.78e-02	2	2432	protein_coding	small nuclear RNA activating complex, polypeptide 5, 19kDa	15	66782473	66790151
ENSG00000141646	SMAD4	6.78e-02	2	2433	protein_coding	SMAD family member 4	18	48494410	48611415
ENSG00000204209	DAXX	6.82e-02	2	2441	protein_coding	death-domain associated protein	6	33286335	33297046
ENSG00000007237	GAS7	6.82e-02	2	2441	protein_coding	growth arrest-specific 7	17	9813926	10101868
ENSG00000103316	CRYM	6.84e-02	2	2444	protein_coding	crystallin, mu	16	21250195	21314404
ENSG00000198914	POU3F3	6.84e-02	2	2445	protein_coding	POU class 3 homeobox 3	2	105471969	105476929
ENSG00000107187	LHX3	6.87e-02	1	392	protein_coding	LIM homeobox 3	9	139088096	139096955
ENSG00000173275	ZNF449	6.99e-02	2	2475	protein_coding	zinc finger protein 449	X	134478721	134497077
ENSG00000082701	GSK3B	7.02e-02	2	2481	protein_coding	glycogen synthase kinase 3 beta	3	119540170	119813264
ENSG00000077092	RARB	7.04e-02	2	2485	protein_coding	retinoic acid receptor, beta	3	25215823	25639423
ENSG00000075142	SRI	7.17e-02	2	2510	protein_coding	sorcin	7	87834433	87856308
ENSG00000186376	ZNF75D	7.17e-02	2	2511	protein_coding	zinc finger protein 75D	X	134382867	134478012
ENSG00000104320	NBN	7.18e-02	2	2513	protein_coding	nibrin	8	90945564	91015456
ENSG00000109339	MAPK10	7.19e-02	2	2515	protein_coding	mitogen-activated protein kinase 10	4	86936276	87515284
ENSG00000148835	TAF5	7.20e-02	2	2517	protein_coding	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	10	105127724	105148822
ENSG00000063978	RNF4	7.33e-02	2	2542	protein_coding	ring finger protein 4	4	2463947	2627047
ENSG00000177425	PAWR	7.40e-02	2	2555	protein_coding	PRKC, apoptosis, WT1, regulator	12	79968759	80084877
ENSG00000160563	MED27	7.41e-02	2	2558	protein_coding	mediator complex subunit 27	9	134735494	134955295
ENSG00000186814	ZSCAN30	7.41e-02	2	2558	protein_coding	zinc finger and SCAN domain containing 30	18	32831032	32870196
ENSG00000071575	TRIB2	7.43e-02	2	2562	protein_coding	tribbles pseudokinase 2	2	12857015	12882860
ENSG00000133169	BEX1	7.45e-02	2	2565	protein_coding	brain expressed, X-linked 1	X	102317579	102319168
ENSG00000164924	YWHAZ	7.50e-02	2	2576	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta	8	101928753	101965616
ENSG00000068305	MEF2A	7.52e-02	2	2580	protein_coding	myocyte enhancer factor 2A	15	100017370	100256671
ENSG00000179981	TSHZ1	7.57e-02	2	2588	protein_coding	teashirt zinc finger homeobox 1	18	72922710	73001905
ENSG00000165495	PKNOX2	7.72e-02	2	2617	protein_coding	PBX/knotted 1 homeobox 2	11	125034583	125303285
ENSG00000117724	CENPF	7.73e-02	2	2620	protein_coding	centromere protein F, 350/400kDa	1	214776538	214837931
ENSG00000042429	MED17	7.75e-02	2	2624	protein_coding	mediator complex subunit 17	11	93517393	93547861
ENSG00000143514	TP53BP2	7.76e-02	2	2625	protein_coding	tumor protein p53 binding protein, 2	1	223967601	224033674
ENSG00000188243	COMMD6	7.82e-02	2	2637	protein_coding	COMM domain containing 6	13	76099350	76123575
ENSG00000072501	SMC1A	7.85e-02	2	2642	protein_coding	structural maintenance of chromosomes 1A	X	53401070	53449677
ENSG00000141026	MED9	7.88e-02	2	2647	protein_coding	mediator complex subunit 9	17	17380300	17396540
ENSG00000143013	LMO4	7.91e-02	2	2654	protein_coding	LIM domain only 4	1	87794151	87814606
ENSG00000198793	MTOR	7.93e-02	2	2658	protein_coding	mechanistic target of rapamycin (serine/threonine kinase)	1	11166592	11322564
ENSG00000213246	SUPT4H1	7.95e-02	2	2662	protein_coding	suppressor of Ty 4 homolog 1 (S. cerevisiae)	17	56422539	56430454
ENSG00000143418	CERS2	7.95e-02	2	2662	protein_coding	ceramide synthase 2	1	150933059	150947479
ENSG00000197780	TAF13	7.96e-02	2	2664	protein_coding	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	1	109605108	109618624
ENSG00000166913	YWHAB	7.97e-02	2	2666	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta	20	43514317	43537173
ENSG00000196367	TRRAP	7.99e-02	2	2669	protein_coding	transformation/transcription domain-associated protein	7	98475556	98610866
ENSG00000197386	HTT	8.11e-02	2	2691	protein_coding	huntingtin	4	3076408	3245676
ENSG00000112282	MED23	8.12e-02	2	2694	protein_coding	mediator complex subunit 23	6	131895106	131949369
ENSG00000094916	CBX5	8.14e-02	2	2697	protein_coding	chromobox homolog 5	12	54624724	54673886
ENSG00000147649	MTDH	8.20e-02	2	2708	protein_coding	metadherin	8	98656407	98740998
ENSG00000111653	ING4	8.22e-02	2	2713	protein_coding	inhibitor of growth family, member 4	12	6759446	6772314
ENSG00000146676	PURB	8.23e-02	2	2715	protein_coding	purine-rich element binding protein B	7	44915896	44924960
ENSG00000147862	NFIB	8.24e-02	2	2716	protein_coding	nuclear factor I/B	9	14081842	14398982
ENSG00000133398	MED10	8.24e-02	2	2717	protein_coding	mediator complex subunit 10	5	6371994	6378707
ENSG00000118217	ATF6	8.29e-02	2	2725	protein_coding	activating transcription factor 6	1	161736084	161933860
ENSG00000113387	SUB1	8.31e-02	2	2730	protein_coding	SUB1 homolog (S. cerevisiae)	5	32531739	32604185
ENSG00000100811	YY1	8.32e-02	2	2732	protein_coding	YY1 transcription factor	14	100704635	100749129
