TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
NFIX	MA0671.1	1.38933	0.0823264	0.962545	0.950047	0.0324977	10
BCL6B	MA0731.1	1.38123	0.083584	0.713984	0.695965	0.0315929	10
PAX7	MA0680.1	1.37381	0.084726	0.799671	0.77065	0.0578837	10
BATF3	MA0835.1	1.36873	0.0855134	0.711465	0.690572	0.0460532	10
ZNF384	MA1125.1	1.3666	0.0858574	0.920739	0.880273	0.0679623	10
Esrrg	MA0643.1	1.35741	0.087287	0.871011	0.850639	0.0523428	10
Mlxip	MA0622.1	1.35202	0.0881521	0.88119	0.855234	0.0613079	10
RORB	MA1150.1	1.34946	0.0885827	0.87436	0.856822	0.0221643	10
POU4F1	MA0790.1	1.34314	0.0895963	0.808088	0.780954	0.0441765	10
Myod1	MA0499.1	1.33942	0.0901814	0.907387	0.886961	0.051049	10
Foxo1	MA0480.1	1.33317	0.0912081	0.886402	0.866891	0.0436677	10
FOXP3	MA0850.1	1.32714	0.0922145	0.955466	0.939312	0.0268762	10
Rarg	MA0859.1	1.31514	0.094184	0.761877	0.741035	0.0616283	10
CUX2	MA0755.1	1.3073	0.0955329	0.827464	0.803299	0.0468301	10
POU3F3	MA0788.1	1.30268	0.096312	0.834104	0.809472	0.0570732	10
HOXD12	MA0873.1	1.29985	0.0967971	0.836057	0.817025	0.0431269	10
HOXC11	MA0651.1	1.29829	0.0970659	0.847115	0.827196	0.0440852	10
POU3F4	MA0789.1	1.29468	0.0976893	0.863435	0.836991	0.0565247	10
HOXA10	MA0899.1	1.29251	0.0980751	0.890398	0.86806	0.0345255	10
CUX1	MA0754.1	1.28916	0.0986456	0.843956	0.819599	0.0514308	10
PAX3	MA0780.1	1.28179	0.0999332	0.808311	0.781063	0.0562779	10
ESR2	MA0258.2	1.27952	0.10029	0.836792	0.821593	0.0550049	10
RORC	MA1151.1	1.26379	0.103123	0.875768	0.860276	0.0354396	10
CREB3L1	MA0839.1	1.25956	0.103893	0.773567	0.757521	0.0313109	10
HOXD13	MA0909.1	1.25585	0.104561	0.897431	0.875855	0.0451856	10
Foxj2	MA0614.1	1.25225	0.105226	0.920441	0.897954	0.0336739	10
FOSL1::JUND	MA1142.1	1.22975	0.109372	0.883179	0.865777	0.0355829	10
NRL	MA0842.1	1.22335	0.110558	0.892296	0.877357	0.0425935	10
ZBED1	MA0749.1	1.21702	0.111743	0.740161	0.7249	0.0510919	10
GATA5	MA0766.1	1.21274	0.112593	0.936453	0.917448	0.0390306	10
POU1F1	MA0784.1	1.21203	0.112709	0.801731	0.779427	0.0640044	10
MZF1(var.2)	MA0057.1	1.20565	0.113949	0.940216	0.927773	0.0283068	10
MITF	MA0620.2	1.20423	0.114171	0.789671	0.772302	0.0712993	10
HOXD11	MA0908.1	1.19455	0.116098	0.870548	0.85161	0.0490312	10
POU5F1B	MA0792.1	1.18198	0.11858	0.880326	0.858161	0.0508459	10
TFAP4	MA0691.1	1.17962	0.119046	0.847403	0.828578	0.0463873	10
NR2F2	MA1111.1	1.17305	0.120352	0.880398	0.861438	0.0516201	10
NR1A4::RXRA	MA1146.1	1.17263	0.120445	0.792302	0.779564	0.0297011	10
NFE2	MA0841.1	1.17118	0.120706	0.81105	0.791955	0.0681934	10
POU2F1	MA0785.1	1.15983	0.123029	0.846927	0.82559	0.0523166	10
CDX1	MA0878.1	1.14517	0.126053	0.914273	0.894178	0.0353043	10
RARA	MA0729.1	1.14171	0.126754	0.741361	0.726214	0.0404461	10
BHLHE40	MA0464.2	1.1174	0.131877	0.85608	0.836981	0.0530892	10
ARNT::HIF1A	MA0259.1	1.11551	0.1323	0.933072	0.914722	0.0337578	10
SP3	MA0746.1	1.11221	0.13301	0.918741	0.900242	0.0303434	10
JDP2	MA0655.1	1.10332	0.134909	0.828682	0.809326	0.0554586	10
GCM1	MA0646.1	1.0959	0.136545	0.83765	0.824472	0.0240905	10
NR1H4	MA1110.1	1.09526	0.136666	0.845233	0.828381	0.0493331	10
Klf12	MA0742.1	1.0908	0.137658	0.842791	0.826876	0.0340887	10
Nkx2-5(var.2)	MA0503.1	1.0888	0.138107	0.892268	0.879389	0.0213942	10
Arntl	MA0603.1	1.0704	0.142184	0.861733	0.843934	0.0526177	10
Dlx1	MA0879.1	1.06773	0.142806	0.920329	0.902694	0.032146	10
HOXA13	MA0650.1	1.06693	0.142977	0.887812	0.869817	0.0440095	10
MYCN	MA0104.4	1.06032	0.144467	0.828962	0.81122	0.0505412	10
ID4	MA0824.1	1.05752	0.145096	0.918874	0.902553	0.0523534	10
NR2F1	MA0017.2	1.05524	0.145584	0.861852	0.844972	0.0744874	10
FOXO6	MA0849.1	1.05352	0.146026	0.915083	0.895955	0.0470238	10
MEF2B	MA0660.1	1.05028	0.146765	0.82352	0.801303	0.0607805	10
FOSB::JUNB	MA1135.1	1.04501	0.147968	0.857683	0.840843	0.0547335	10
SP1	MA0079.3	1.04103	0.148904	0.941667	0.924259	0.0447285	10
POU4F3	MA0791.1	1.03983	0.149191	0.779331	0.758941	0.0412944	10
SOX4	MA0867.1	1.03931	0.149306	0.699966	0.683133	0.040393	10
Pou2f3	MA0627.1	1.02725	0.15212	0.807518	0.789356	0.0532196	10
GRHL2	MA1105.1	1.02133	0.153504	0.803186	0.787891	0.054074	10
FOXI1	MA0042.2	1.01375	0.155329	0.911188	0.892596	0.0433634	10
POU3F1	MA0786.1	1.00287	0.157919	0.844564	0.825215	0.0677243	10
POU3F2	MA0787.1	0.996117	0.159544	0.833325	0.81426	0.0746082	10
Nr2f6(var.2)	MA0728.1	0.984019	0.1625	0.765494	0.749561	0.0634637	10
Stat6	MA0520.1	0.981499	0.163134	0.856806	0.842672	0.0482076	10
PROP1	MA0715.1	0.980589	0.163388	0.81959	0.797876	0.0306138	10
CDX2	MA0465.1	0.967769	0.166569	0.881842	0.865434	0.0258197	10
FOS::JUNB	MA1134.1	0.967112	0.1667	0.840244	0.824949	0.0557192	10
GRHL1	MA0647.1	0.958685	0.168803	0.798474	0.783785	0.0615257	10
Tcf12	MA0521.1	0.947843	0.171562	0.903287	0.888324	0.0549475	10
RORA(var.2)	MA0072.1	0.946368	0.171935	0.814822	0.80084	0.0530385	10
ESRRB	MA0141.3	0.946063	0.172023	0.823537	0.807865	0.0518261	10
PAX5	MA0014.3	0.943974	0.17255	0.848433	0.83489	0.0495447	10
MAFK	MA0496.2	0.942998	0.172813	0.734105	0.722228	0.0343213	10
Rarb	MA0857.1	0.942903	0.172821	0.733743	0.719725	0.0526427	10
Arid5a	MA0602.1	0.939714	0.17366	0.851442	0.833286	0.0460191	10
FOSL2::JUNB	MA1138.1	0.936322	0.174516	0.852903	0.837277	0.0547818	10
TEAD1	MA0090.2	0.930619	0.175998	0.913667	0.902242	0.0337835	10
MSC	MA0665.1	0.928102	0.17663	0.848041	0.835372	0.0506334	10
MXI1	MA1108.1	0.926563	0.177044	0.847758	0.832236	0.0503503	10
IRF1	MA0050.2	0.924604	0.177565	0.80088	0.786113	0.0366797	10
NFIC::TLX1	MA0119.1	0.917214	0.179504	0.780646	0.766802	0.0238977	10
GATA3	MA0037.3	0.914781	0.180127	0.91964	0.903668	0.0468683	10
Rfx1	MA0509.1	0.900669	0.183846	0.815564	0.803157	0.043696	10
Hes2	MA0616.1	0.898851	0.184309	0.84689	0.836545	0.0472586	10
BHLHE41	MA0636.1	0.897329	0.184731	0.817392	0.802531	0.0568817	10
Nr5a2	MA0505.1	0.89372	0.185706	0.821361	0.808845	0.0404123	10
STAT1::STAT2	MA0517.1	0.887348	0.187415	0.829491	0.81663	0.0425151	10
FOSL2::JUND	MA1144.1	0.88491	0.188062	0.85107	0.83687	0.0551276	10
TP63	MA0525.2	0.883912	0.188328	0.733418	0.722819	0.0423954	10
Arid3b	MA0601.1	0.879964	0.189432	0.873751	0.853936	0.0236031	10
Mafb	MA0117.2	0.860815	0.194643	0.854429	0.842964	0.03666	10
MAFF	MA0495.2	0.860241	0.194792	0.713765	0.70258	0.0420567	10
E2F8	MA0865.1	0.851406	0.197232	0.769274	0.757213	0.0479106	10
JUN(var.2)	MA0489.1	0.847994	0.198179	0.846643	0.834215	0.0511468	10
TP73	MA0861.1	0.842204	0.199812	0.777388	0.76715	0.0317892	10
NR4A1	MA1112.1	0.83585	0.201601	0.870561	0.856433	0.0373838	10
MAX	MA0058.3	0.830052	0.20321	0.865732	0.851837	0.060363	10
Smad4	MA1153.1	0.827512	0.203937	0.903966	0.889054	0.0588443	10
TP53	MA0106.3	0.804192	0.210609	0.740912	0.731733	0.0361281	10
Pitx1	MA0682.1	0.798542	0.212235	0.918784	0.906073	0.0567741	10
NRF1	MA0506.1	0.796698	0.212777	0.873192	0.857175	0.0650577	10
KLF5	MA0599.1	0.789724	0.214821	0.954755	0.941922	0.041839	10
MLXIPL	MA0664.1	0.789384	0.214894	0.837844	0.825749	0.059736	10
RELA	MA0107.1	0.788874	0.215055	0.865268	0.853475	0.0499623	10
SP2	MA0516.1	0.785404	0.21609	0.900691	0.886827	0.0385941	10
USF2	MA0526.2	0.782714	0.21685	0.81172	0.799035	0.061672	10
HIF1A	MA1106.1	0.780128	0.217625	0.870674	0.856929	0.0546012	10
CTCF	MA0139.1	0.762919	0.222733	0.803859	0.793984	0.0325167	10
FOS::JUND	MA1141.1	0.761418	0.223159	0.836389	0.824652	0.056723	10
MYC	MA0147.3	0.760232	0.22353	0.844755	0.831813	0.048491	10
GATA1::TAL1	MA0140.2	0.755099	0.225028	0.805246	0.794716	0.0638645	10
RHOXF1	MA0719.1	0.746504	0.227652	0.975499	0.969985	0.0217581	10
RELB	MA1117.1	0.74376	0.228489	0.862219	0.851826	0.034665	10
Sox3	MA0514.1	0.742306	0.228929	0.914258	0.904679	0.0318355	10
RORA	MA0071.1	0.731838	0.232102	0.870759	0.859523	0.0473642	10
Sox17	MA0078.1	0.730075	0.232648	0.920666	0.909446	0.0405073	10
Sox2	MA0143.3	0.728828	0.233021	0.898238	0.885915	0.0528398	10
Myog	MA0500.1	0.7184	0.236219	0.908119	0.896577	0.0542727	10
Barhl1	MA0877.1	0.712628	0.238017	0.914049	0.90532	0.0301337	10
Ascl2	MA0816.1	0.692268	0.244358	0.872284	0.861785	0.0430867	10
Nr1h3::Rxra	MA0494.1	0.69026	0.244988	0.825425	0.81817	0.0304808	10
FOSL1::JUNB	MA1137.1	0.686441	0.246184	0.83999	0.829816	0.0480552	10
NR4A2	MA0160.1	0.682957	0.247286	0.93006	0.922262	0.0355533	10
Ddit3::Cebpa	MA0019.1	0.680968	0.247917	0.865472	0.856989	0.0376905	10
KLF14	MA0740.1	0.680583	0.248046	0.843759	0.832469	0.0416347	10
IRF2	MA0051.1	0.678568	0.248656	0.791067	0.782123	0.0535104	10
HEY2	MA0649.1	0.678621	0.24867	0.849002	0.837979	0.0377436	10
FOSL2::JUN	MA1130.1	0.676184	0.249427	0.849863	0.839469	0.0512389	10
Npas2	MA0626.1	0.674923	0.249838	0.881635	0.871003	0.0429973	10
Arnt	MA0004.1	0.663774	0.253382	0.901626	0.887595	0.0714481	10
TCF4	MA0830.1	0.654602	0.256331	0.930252	0.91979	0.0508778	10
HOXC12	MA0906.1	0.653424	0.25672	0.820507	0.810603	0.0393635	10
E2F2	MA0864.1	0.651008	0.257487	0.724362	0.715794	0.0434088	10
ZNF24	MA1124.1	0.650241	0.257724	0.764498	0.751675	0.0756658	10
Dlx2	MA0885.1	0.649219	0.258078	0.921976	0.908435	0.0516174	10
RFX4	MA0799.1	0.648049	0.258453	0.798871	0.790326	0.0359496	10
FOS::JUN	MA0099.3	0.642892	0.260114	0.854736	0.844868	0.050932	10
FOXK1	MA0852.2	0.640806	0.260801	0.838825	0.829011	0.0417262	10
Sox5	MA0087.1	0.635389	0.262557	0.924246	0.911351	0.0632888	10
HNF1A	MA0046.2	0.632508	0.263512	0.791683	0.779776	0.0400947	10
FOXD1	MA0031.1	0.631001	0.263996	0.889501	0.878039	0.0502309	10
MZF1	MA0056.1	0.624145	0.266258	0.990513	0.98498	0.0126105	10
OTX2	MA0712.1	0.621713	0.267036	0.916419	0.905918	0.0523565	10
FOSL1::JUN	MA1128.1	0.614579	0.269383	0.841721	0.832296	0.0517985	10
TFDP1	MA1122.1	0.60674	0.271991	0.876803	0.865421	0.0482336	10
MSX1	MA0666.1	0.603449	0.273089	0.91068	0.900312	0.0370563	10
MTF1	MA0863.1	0.596268	0.275475	0.755369	0.748248	0.0328489	10
PHOX2A	MA0713.1	0.590383	0.27746	0.83207	0.820279	0.0242389	10
SOX10	MA0442.2	0.580382	0.280795	0.89775	0.887592	0.0598925	10
FOXP2	MA0593.1	0.580177	0.280879	0.878666	0.868705	0.0423968	10
TEAD4	MA0809.1	0.578726	0.281365	0.914738	0.906816	0.0368717	10
E2F6	MA0471.1	0.565459	0.285858	0.918347	0.909597	0.0434803	10
TFE3	MA0831.2	0.56322	0.286614	0.889479	0.880644	0.0499381	10
FOS	MA0476.1	0.560534	0.287533	0.865593	0.856382	0.0484949	10
Hoxa9	MA0594.1	0.559641	0.28784	0.846078	0.838161	0.0384476	10
Hic1	MA0739.1	0.551702	0.290537	0.896137	0.88943	0.045989	10
Rarb(var.2)	MA0858.1	0.550305	0.291026	0.734276	0.727266	0.0412461	10
CTCFL	MA1102.1	0.547634	0.291952	0.825821	0.815701	0.0481686	10
HIC2	MA0738.1	0.543464	0.293364	0.933742	0.927584	0.0443006	10
RXRA::VDR	MA0074.1	0.540583	0.294374	0.785652	0.779408	0.0334874	10
ELK1	MA0028.2	0.538623	0.295059	0.832271	0.823048	0.0367222	10
TWIST1	MA1123.1	0.528906	0.298422	0.858417	0.850544	0.0311113	10
GBX2	MA0890.1	0.525914	0.29946	0.885956	0.876102	0.0400991	10
VSX1	MA0725.1	0.517963	0.302229	0.897624	0.887285	0.0410037	10
SP8	MA0747.1	0.516617	0.302694	0.892964	0.885494	0.0356626	10
MEIS1	MA0498.2	0.51118	0.304598	0.963735	0.957114	0.0285805	10
FOSL1	MA0477.1	0.509799	0.305045	0.859345	0.851326	0.0710355	10
Pou5f1::Sox2	MA0142.1	0.508284	0.30562	0.793562	0.786097	0.0211061	10
FIGLA	MA0820.1	0.500651	0.308284	0.901456	0.894574	0.0416071	10
ELF4	MA0641.1	0.497011	0.309575	0.8063	0.798956	0.0349765	10
TBX15	MA0803.1	0.488615	0.312542	0.879852	0.871574	0.0398041	10
MAX::MYC	MA0059.1	0.483905	0.314198	0.830189	0.823262	0.0479931	10
Hmx3	MA0898.1	0.478426	0.316151	0.777185	0.770067	0.0443266	10
Hmx2	MA0897.1	0.468941	0.319539	0.778765	0.771815	0.0380218	10
HINFP	MA0131.2	0.463746	0.321406	0.841363	0.833703	0.0272477	10
EN2	MA0642.1	0.46235	0.321909	0.898799	0.892906	0.0170011	10
IRF4	MA1419.1	0.460695	0.32249	0.733798	0.727626	0.0367684	10
CEBPA	MA0102.3	0.458122	0.323426	0.871212	0.864596	0.0208921	10
KLF13	MA0657.1	0.445922	0.327812	0.760871	0.75523	0.0299812	10
T	MA0009.2	0.445455	0.32797	0.734292	0.728696	0.0412468	10
ZBTB7A	MA0750.2	0.442106	0.329186	0.85239	0.845136	0.0470498	10
Msx3	MA0709.1	0.441116	0.329549	0.901391	0.892399	0.0505519	10
DUX4	MA0468.1	0.439797	0.330034	0.847442	0.840227	0.0264428	10
ETV5	MA0765.1	0.431379	0.333074	0.88379	0.877579	0.0452629	10
FOSL2	MA0478.1	0.425212	0.335296	0.864765	0.858003	0.0721598	10
VSX2	MA0726.1	0.421304	0.336758	0.880878	0.872273	0.0362784	10
POU4F2	MA0683.1	0.418774	0.33768	0.738978	0.731363	0.0373969	10
USF1	MA0093.2	0.417807	0.338016	0.85524	0.848885	0.0542428	10
Phox2b	MA0681.1	0.416995	0.338335	0.828754	0.820451	0.0265797	10
Dlx3	MA0880.1	0.416022	0.33868	0.921044	0.913311	0.0498697	10
TCF3	MA0522.2	0.403415	0.343304	0.925885	0.919527	0.0433288	10
SIX2	MA1119.1	0.400484	0.344383	0.773423	0.768043	0.0368418	10
PITX3	MA0714.1	0.399276	0.344817	0.900156	0.893945	0.0565793	10
mix-a	MA0621.1	0.39846	0.345136	0.833695	0.823904	0.0477202	10
EGR3	MA0732.1	0.395619	0.346185	0.802079	0.79503	0.0314571	10
TBX21	MA0690.1	0.391726	0.347606	0.838696	0.833105	0.04901	10
ELF1	MA0473.2	0.390298	0.348142	0.805355	0.799534	0.0408616	10
Ahr::Arnt	MA0006.1	0.385463	0.349934	0.945281	0.938736	0.0410577	10
GSC	MA0648.1	0.377777	0.35279	0.87964	0.873837	0.0279385	10
JUNB	MA0490.1	0.376932	0.353078	0.859329	0.853326	0.0656847	10
HNF1B	MA0153.2	0.375139	0.353772	0.775959	0.768871	0.0291653	10
Atf3	MA0605.1	0.371952	0.354946	0.866643	0.861054	0.0444746	10
JUND	MA0491.1	0.36724	0.356687	0.851527	0.845761	0.0643136	10
EGR1	MA0162.3	0.366561	0.356961	0.780409	0.774292	0.0385304	10
Tcf21	MA0832.1	0.365988	0.357162	0.77114	0.76578	0.0522128	10
ELK3	MA0759.1	0.365221	0.35746	0.850263	0.844602	0.03843	10
OTX1	MA0711.1	0.362787	0.35836	0.907193	0.901144	0.0557748	10
RREB1	MA0073.1	0.358709	0.359878	0.823428	0.818434	0.0538692	10
Hoxc9	MA0485.1	0.353553	0.361824	0.821226	0.816095	0.0367414	10
BACH2	MA1101.1	0.34616	0.364587	0.79391	0.788797	0.0530705	10
NEUROD1	MA1109.1	0.33764	0.367804	0.856517	0.851774	0.0358524	10
FOXO3	MA0157.2	0.331511	0.370117	0.871638	0.865636	0.0460388	10
Spz1	MA0111.1	0.329493	0.370873	0.889225	0.886225	0.0289109	10
DLX6	MA0882.1	0.328268	0.371342	0.918429	0.912442	0.0473792	10
Dlx4	MA0881.1	0.326983	0.371826	0.918836	0.91298	0.0486501	10
SRF	MA0083.3	0.322396	0.373565	0.719693	0.715119	0.033526	10
IRF8	MA0652.1	0.321172	0.374029	0.748163	0.743701	0.0331388	10
E2F7	MA0758.1	0.315525	0.376171	0.723267	0.718737	0.0333123	10
MEOX2	MA0706.1	0.31492	0.376397	0.88564	0.880536	0.0444121	10
LHX9	MA0701.1	0.308715	0.378764	0.923158	0.918217	0.0249531	10
SCRT2	MA0744.1	0.304775	0.380245	0.788865	0.784626	0.0522875	10
LEF1	MA0768.1	0.30437	0.380413	0.78285	0.77852	0.0326936	10
Nfe2l2	MA0150.2	0.30293	0.380953	0.777461	0.773443	0.0437653	10
HESX1	MA0894.1	0.298564	0.382623	0.879009	0.873251	0.0524288	10
HOXB3	MA0903.1	0.296245	0.383507	0.91785	0.913208	0.0455907	10
ASCL1	MA1100.1	0.290482	0.385712	0.858498	0.853709	0.0435929	10
Pax6	MA0069.1	0.289378	0.38612	0.796061	0.792785	0.0457791	10
TGIF2	MA0797.1	0.281663	0.389083	0.766976	0.762839	0.0495144	10
Hoxd3	MA0912.1	0.272813	0.392488	0.824032	0.820051	0.0358712	10
Lhx3	MA0135.1	0.270089	0.393541	0.831285	0.826096	0.0285715	10
E2F4	MA0470.1	0.269616	0.393713	0.888293	0.883313	0.057475	10
TBX1	MA0805.1	0.268232	0.394252	0.875999	0.871429	0.0377454	10
PBX1	MA0070.1	0.256801	0.398657	0.822238	0.818479	0.0357928	10
MNX1	MA0707.1	0.252091	0.400476	0.902778	0.898661	0.0397771	10
VAX1	MA0722.1	0.241953	0.4044	0.903796	0.899685	0.0411061	10
VAX2	MA0723.1	0.240675	0.404896	0.900559	0.896548	0.0381449	10
ZNF410	MA0752.1	0.23929	0.405435	0.713641	0.710379	0.0259376	10
MIXL1	MA0662.1	0.238513	0.405734	0.90357	0.899499	0.0377503	10
EVX1	MA0887.1	0.238503	0.405739	0.894759	0.891353	0.0287174	10
NR3C1	MA0113.3	0.238315	0.405808	0.75622	0.752987	0.0367747	10
IRF7	MA0772.1	0.237835	0.405999	0.799357	0.795775	0.0259917	10
GSX2	MA0893.1	0.233007	0.40787	0.894134	0.890394	0.0372839	10
SHOX	MA0630.1	0.231046	0.408633	0.910408	0.905998	0.0410629	10
Gabpa	MA0062.2	0.219555	0.4131	0.859966	0.856425	0.043098	10
Mecom	MA0029.1	0.218593	0.41347	0.792115	0.788723	0.0512124	10
TBR1	MA0802.1	0.215825	0.414548	0.839097	0.836001	0.0492548	10
Bhlha15	MA0607.1	0.2115	0.416243	0.893004	0.889661	0.0301222	10
VENTX	MA0724.1	0.208857	0.417268	0.867068	0.863552	0.0519063	10
Crx	MA0467.1	0.203049	0.419534	0.850538	0.847864	0.0462785	10
Gfi1	MA0038.1	0.202811	0.419633	0.902845	0.900098	0.0366137	10
RFX3	MA0798.1	0.195675	0.422423	0.773253	0.770608	0.038458	10
STAT1	MA0137.3	0.195526	0.422483	0.859892	0.856896	0.037155	10
ALX3	MA0634.1	0.189349	0.424904	0.878269	0.874948	0.038529	10
ETV4	MA0764.1	0.187111	0.425778	0.866171	0.863612	0.0380078	10
RAX	MA0718.1	0.179159	0.428901	0.886133	0.88291	0.0377376	10
