illum, gene, corpf
ILMN_1682054, SRI, 0.546
ILMN_1797005, PGLS, 0.544
ILMN_1724207, IVD, 0.544
ILMN_1773485, QKI, 0.544
ILMN_1653162, HSD17B6, 0.542
ILMN_1800659, PGM1, 0.541
ILMN_1700477, MRPL43, 0.541
ILMN_1696419, STOM, 0.541
ILMN_1740938, APOE, 0.54
ILMN_1761247, PIR, 0.54
ILMN_1658494, RGCC, 0.54
ILMN_1734823, MSI2, 0.54
ILMN_1666089, OLIG1, 0.539
ILMN_1680300, BCAN, 0.539
ILMN_1681130, ACP6, 0.538
ILMN_1678579, CPT2, 0.538
ILMN_1667213, DFFA, 0.538
ILMN_1797530, CHCHD5, 0.537
ILMN_1720799, TECR, 0.536
ILMN_1656951, APCDD1, 0.536
ILMN_1751471, MLC1, 0.536
ILMN_1667429, SLC25A20, 0.536
ILMN_1775243, LOC441246, 0.536
ILMN_1760714, RPS3, 0.535
ILMN_1797964, ARL6IP6, 0.534
ILMN_1801833, ARHGAP24, 0.534
ILMN_1715324, HSD17B8, 0.533
ILMN_1792951, ZHX2, 0.533
ILMN_1662852, IQCK, 0.533
ILMN_1703715, PIK3C2A, 0.531
ILMN_1765876, ARHGAP24, 0.531
ILMN_1703108, UBE2L6, 0.528
ILMN_1660199, ACAA2, 0.528
ILMN_1753370, ABTB2, 0.527
ILMN_1755818, BGLAP, 0.526
ILMN_1776522, SLC50A1, 0.526
ILMN_1712975, YIF1A, 0.526
ILMN_1738307, PRDX4, 0.525
ILMN_1665235, CRTAP, 0.523
ILMN_1761010, PCCB, 0.523
ILMN_1747577, ALAD, 0.522
ILMN_1738707, S100A13, 0.522
ILMN_1808584, COX20, 0.521
ILMN_1681543, RHBDD1, 0.521
ILMN_1810131, AMER2, 0.521
ILMN_1654893, SCAMP2, 0.52
ILMN_1663618, STAT3, 0.52
ILMN_1728049, S100A16, 0.519
ILMN_1792689, HIST1H2AC, 0.519
ILMN_1685569, TTYH1, 0.518
ILMN_1756445, PMF1, 0.518
ILMN_1656899, CIB1, 0.518
ILMN_1793743, DIRC2, 0.518
ILMN_1781386, WIPI1, 0.518
ILMN_1656837, RBP1, 0.517
ILMN_1715635, ATP6V0E1, 0.517
ILMN_1688633, CLCN2, 0.516
ILMN_2038774, EEF1A1, 0.516
ILMN_1789614, TPT1, 0.516
ILMN_1777721, MAPRE1, 0.516
ILMN_1668779, GPR17, 0.515
ILMN_1765459, S100A13, 0.515
ILMN_1656082, LOC440926, 0.514
ILMN_1767006, PSMB8, 0.514
ILMN_1781952, MGST1, 0.514
ILMN_1809003, CBR1, 0.514
ILMN_1688842, WDFY2, 0.514
ILMN_1716843, ELOVL2, 0.514
ILMN_1758731, CYP2J2, 0.513
ILMN_1681984, GALNT10, 0.511
ILMN_1761531, SGPL1, 0.51
ILMN_1653496, GLUL, 0.51
ILMN_1653783, MLC1, 0.509
ILMN_1702822, NTRK2, 0.507
ILMN_1807171, PLA2G5, 0.507
ILMN_1692077, MXRA7, 0.506
ILMN_1661683, THRA, 0.506
ILMN_1716093, KRT10, 0.506
ILMN_1712673, SASH1, 0.505
ILMN_1689446, EIF3G, 0.505
ILMN_1664614, FAU, 0.505
ILMN_1669498, CRB1, 0.505
ILMN_1720665, GINM1, 0.505
ILMN_1782543, EEF1D, 0.505
ILMN_1705266, RELA, 0.505
ILMN_1672741, ITSN1, 0.504
ILMN_1771651, MON1B, 0.504
ILMN_1704537, PHGDH, 0.503
ILMN_1676616, PTPRZ1, 0.502
ILMN_1789463, FXYD1, 0.502
ILMN_1701854, GNG5, 0.502
ILMN_1763012, PFN1, 0.501
ILMN_1806432, NT5C, 0.5
ILMN_1806681, CHDH, 0.499
ILMN_1784264, TNFSF13, 0.499
ILMN_1697962, NSMCE1, 0.498
ILMN_1656955, PCDHGC3, 0.498
ILMN_1768279, NME6, 0.498
ILMN_1804854, CTNNA1, 0.497
ILMN_1697864, CXorf38, 0.497
ILMN_1685653, RPS17, 0.496
ILMN_1675268, LRP4, 0.496
ILMN_1751851, ADA2, 0.496
ILMN_1789618, FER, 0.496
ILMN_1691572, TST, 0.495
ILMN_1775762, GNAI2, 0.495
ILMN_1689342, NUBP1, 0.495
ILMN_1814823, FTL, 0.495
ILMN_1704236, MAX, 0.495
ILMN_1697787, HIP1, 0.495
ILMN_1678548, AGPAT3, 0.494
ILMN_1709348, ALDH1A1, 0.494
ILMN_1786433, BCCIP, 0.494
ILMN_1790603, ATPAF1, 0.494
ILMN_1750409, RAB9A, 0.494
ILMN_1678766, DYNLT1, 0.494
ILMN_1708957, MYBPC1, 0.493
ILMN_1676592, AKR7A3, 0.493
ILMN_1792135, SLC35A2, 0.493
ILMN_1681634, PXMP2, 0.493
ILMN_1766353, CLK3, 0.492
ILMN_1654314, LGALS3BP, 0.492
